dataset,sample_id,clean_text,noisy_text,label,noise_type,severity,word_count,token_count,sigma_prime,alpha,oov_rate
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Danny cillects bottle capw. He fiumd 63 bottlr caps at the park while he tyrew aqay 51 old onws. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at firxt?,21,keyboard_proximity,0.05,37,60,1.6216216216216217,0.3,0.23333333333333334
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Danmy cpokects bottle cape. Ge dpubd 63 bottlr caps at the park whils hs tursw aaag 51 old ojdx. Now ge gas 33 botrle capx im his collection. How nany bottle caps did danny have ar cirsy?,21,keyboard_proximity,0.15,37,69,1.864864864864865,0.36231884057971014,0.37681159420289856
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Sanjy vkokexyw noytle fspa. Ue ckijd 63 botglr caps at tgs oaro whilr ud tgdsw aqau 51 old phrw. Now je uas 33 botrle capx ij his clklectipm. How nzng vpttle czps did xanny have af girsy?,21,keyboard_proximity,0.3,37,86,2.324324324324324,0.4418604651162791,0.5930232558139535
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Danny col1ects bottle c@p5. He found 63 6ottle caps at th3 park whi1e he thr3w away 51 old ones. Now he has 33 bottle caps in his collection. How many bo7tle caps did danny have at f1rst?,21,homoglyph,0.05,37,68,1.837837837837838,0.4117647058823529,0.25
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,D@nny col13cts bott1e c@p5. He found 63 6ottle caps @t 7h3 p@rk whi1e he thr3w aw@y 51 old ones. Now he has 33 b0tt1e c@p5 1n his collect10n. How many bo7t1e cap5 did danny h@v3 at f1rs7?,21,homoglyph,0.15,37,100,2.7027027027027026,0.65,0.33
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,D@nny co113c75 6o771e c@p5. He f0und 63 60tt13 c@p5 @t 7h3 p@rk whi13 he 7hr3w aw@y 51 0ld on35. N0w h3 h@5 33 b0tt1e c@p5 1n his c011ect10n. How many 607t1e cap5 d1d d@nny h@v3 at f1rs7?,21,homoglyph,0.3,37,134,3.6216216216216215,0.7761194029850746,0.29850746268656714
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Danny coollects bottle capss. He foounnd 63 bottlee caps at the park while he thhrew awway 51 old onees. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at firsst?,21,char_repetition,0.05,37,60,1.6216216216216217,0.25,0.23333333333333334
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Dannny coollllects bottle capss. HHe ffoounnd 63 bottlee caps at the park whilee hee thhreew awwayy 51 old onneess. Now hhe hhas 33 botttle capss inn his collection. How mmany bottle caps did danny have att ffirstt?,21,char_repetition,0.15,37,76,2.054054054054054,0.32894736842105265,0.4473684210526316
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,DDannny ccoolllleccttss bbotttle ccaapss. HHe ffoouunnd 63 botttlee caps at thhee pparkk whilee hhee thhrreew awwayy 51 old oonneess. Now hhe hhas 33 botttle capss inn his coolllectioonn. How mmaanyy bboottle caaps did ddanny have att ffirstt?,21,char_repetition,0.3,37,104,2.810810810810811,0.34615384615384615,0.6153846153846154
svamp,0,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at first?,Danny cllects bottle cap. He fud 63 bottl caps at the park while he trew aay 51 old ons. Now he has 33 bottle caps in his collection. How many bottle caps did danny have at firt?,21,char_deletion,0.05,37,56,1.5135135135135136,0.32142857142857145,0.16071428571428573
