dataset,sample_id,clean_text,noisy_text,label,noise_type,severity,word_count,token_count,sigma_prime,alpha,oov_rate,clean_pred,noisy_pred,clean_score,noisy_score,delta_p,failure_label
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kkein , chwrming in comedies like american pie anr dead-on on election , ",1,keyboard_proximity,0.05,13,23,1.7692307692307692,0.2608695652173913,0.1304347826086956,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kpein , cnqtming ib xonedies like american pie anx deqd-on kn elecyion , ",1,keyboard_proximity,0.15,13,27,2.076923076923077,0.3333333333333333,0.4444444444444444,positive,negative,1.0,0.0,1.0,1
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kpsin , fbweming kj vonedies like wmerifaj pir anc dezs-on kn ekecyuoj , ",1,keyboard_proximity,0.3,13,32,2.4615384615384617,0.3125,0.46875,positive,negative,1.0,0.0,1.0,1
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kl3in , charming in c0medies like @mer1can pie and dead-on in election , ",1,homoglyph,0.05,13,24,1.8461538461538465,0.3333333333333333,0.2083333333333333,positive,unknown,1.0,0.0,1.0,1
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","k1ein , ch@rm1ng in c0m3dies like amer1can pie @nd de@d-on in e1ec7i0n , ",1,homoglyph,0.15,13,39,3.0,0.5897435897435898,0.2564102564102564,positive,unknown,1.0,0.0,1.0,1
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","k131n , ch@rm1ng in c0m3d1es l1k3 am3r1c@n pi3 @nd de@d-0n in e13c710n , ",1,homoglyph,0.3,13,51,3.923076923076923,0.7843137254901961,0.196078431372549,positive,unknown,1.0,0.0,1.0,1
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kllein , chaarming in comedies like american pie andd dead-on iin election , ",1,char_repetition,0.05,13,23,1.7692307692307692,0.217391304347826,0.1739130434782608,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kllein , chhaarrming inn ccommedies like american pie andd deaad-on iin electtion , ",1,char_repetition,0.15,13,31,2.3846153846153846,0.2580645161290322,0.3225806451612903,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","klleein , cchhaarrming iinn ccommedies like aamericcann piee andd deaadd-on iin ellecttiionn , ",1,char_repetition,0.3,13,39,3.0,0.3076923076923077,0.4615384615384615,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kein , chrming in comedies like american pie an dead-on n election , ",1,char_deletion,0.05,13,20,1.5384615384615383,0.2,0.1,positive,positive,1.0,1.0,0.0,0
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kein , cming i oedies like american pie an ded-on n elecion , ",1,char_deletion,0.15,13,22,1.6923076923076923,0.3636363636363636,0.2272727272727272,positive,negative,1.0,0.0,1.0,1
