dataset,sample_id,clean_text,noisy_text,label,noise_type,severity,word_count,token_count,sigma_prime,alpha,oov_rate
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kkein , chwrming in comedies like american pie anr dead-on on election , ",1,keyboard_proximity,0.05,13,23,1.7692307692307692,0.2608695652173913,0.08695652173913043
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kpein , cnqtming ib xonedies like american pie anx deqd-on kn elecyion , ",1,keyboard_proximity,0.15,13,27,2.076923076923077,0.3333333333333333,0.37037037037037035
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kpsin , fbweming kj vonedies like wmerifaj pir anc dezs-on kn ekecyuoj , ",1,keyboard_proximity,0.3,13,32,2.4615384615384617,0.3125,0.40625
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kl3in , charming in c0medies like @mer1can pie and dead-on in election , ",1,homoglyph,0.05,13,24,1.8461538461538463,0.3333333333333333,0.16666666666666666
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","k1ein , ch@rm1ng in c0m3dies like amer1can pie @nd de@d-on in e1ec7i0n , ",1,homoglyph,0.15,13,39,3.0,0.5897435897435898,0.23076923076923078
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","k131n , ch@rm1ng in c0m3d1es l1k3 am3r1c@n pi3 @nd de@d-0n in e13c710n , ",1,homoglyph,0.3,13,51,3.923076923076923,0.7843137254901961,0.1568627450980392
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kllein , chaarming in comedies like american pie andd dead-on iin election , ",1,char_repetition,0.05,13,23,1.7692307692307692,0.21739130434782608,0.08695652173913043
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kllein , chhaarrming inn ccommedies like american pie andd deaad-on iin electtion , ",1,char_repetition,0.15,13,31,2.3846153846153846,0.25806451612903225,0.1935483870967742
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","klleein , cchhaarrming iinn ccommedies like aamericcann piee andd deaadd-on iin ellecttiionn , ",1,char_repetition,0.3,13,39,3.0,0.3076923076923077,0.3333333333333333
sst2,0,"klein , charming in comedies like american pie and dead-on in election , ","kein , chrming in comedies like american pie an dead-on n election , ",1,char_deletion,0.05,13,20,1.5384615384615385,0.2,0.1
