dataset,sample_id,clean_text,noisy_text,label,noise_type,severity,word_count,token_count,sigma_prime,alpha,oov_rate,clean_pred,noisy_pred,clean_score,noisy_score,delta_p,failure_label,clean_raw_output,noisy_raw_output
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Rachel gad to complete 11 pagrs of kagh homewprk, 2 pages of reading homewprk ans 3 more pagws of biology homework. How many more pages of math homework than biology homework dud she have?",8,keyboard_proximity,0.05,34,54,1.588235294117647,0.2592592592592592,0.2222222222222222,8,8.0,1.0,1.0,0.0,0,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 8

(Answer is based on the given information that Rachel had 11 pages of math homework and 5 pages of biology homework in total.)"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Dachel bqf to complete 11 pagwe of nayh homewprk, 2 pages of readimg homsqkrm anr 3 more pagds of buology homework. How many mpre pagss of kqth bomdwork than buologg homework djd sne hace?",8,keyboard_proximity,0.15,34,66,1.9411764705882355,0.3484848484848485,0.3939393939393939,8,5.0,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 5

(Note: I assumed ""bqf"" stands for biology, ""pagwe"" for pages, and ""nayh"" for math or another subject. I assumed ""kqth"" stands for chemistry or another subject.)"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Tacheo nqe tk fpjpkete 11 ozgsd of kwfh homdwirm, 2 pages pr deasijg hokseitl anx 3 more psgrs of buopoyh homework. Uow mzny mpre pagrs of jqth nomswkrk thqn bkklogg homework eod sne hzfe?",8,keyboard_proximity,0.3,34,85,2.5,0.4352941176470588,0.5647058823529412,8,14.67,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 14.67

(Note: I assumed ""ozgsd,"" ""kwfh,"" ""pr,"" ""hokseitl,"" ""anx,"" ""psgrs,"" ""buopoyh,"" ""uow,"" ""mzny,"" ""jqth,"" ""nomswkrk,"" ""thqn,"" ""bkklogg,"" ""homework,"" and ""sne hzfe"" are units or abbreviations, and I converted ""11 ozgsd"" to 11 pounds (16.0 oz = 1 lb), and """
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Rachel h@d to complete 11 p@g35 of ma7h homework, 2 pages of read1ng hom3work and 3 mor3 pages of biology homework. How many more pages of math homework than bio1ogy homework did she have?",8,homoglyph,0.05,34,57,1.6764705882352942,0.3684210526315789,0.1929824561403508,8,8.0,1.0,1.0,0.0,0,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 8

(Note: I assumed that the symbols @ and @@ represent the letters ""h"" and ""p"" respectively, and that the numbers in the problem are meant to be represented as they are written, with the ""@"" symbol replacing the vowels in each word.)

Therefore, Rachel had to complete 11 pages of math homework, 2 pages of reading homework, and 3 pages of biology homework. The difference between the number of pages of math homework and the number of pages of biology homework is 11 - 3 = 8 pages."
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Rachel h@d 7o complete 11 p@935 of ma7h homework, 2 pages of r3@d1n9 hom3work and 3 m0r3 pa9es of 6io10gy homework. How many more p@ges of math homework 7han bi01o9y homew0rk d1d sh3 h@v3?",8,homoglyph,0.15,34,88,2.588235294117647,0.625,0.2386363636363636,8,15.0,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 15

(Note: I assumed that ""h@d,"" ""p@935,"" ""r3@d1n9,"" ""m0r3,"" ""pa9es,"" ""6io10gy,"" ""han,"" ""bi01o9y,"" ""d1d,"" and ""sh3"" represent ""had,"" ""pages of physics,"" ""pages of reading,"" ""pages of math,"" ""pages of biology,"" ""pages of chemistry,"" ""had,"" ""have,"" ""did,"" and ""she"" respectively, and that the number of pages of math homework is the"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","R@che1 h@d 70 c0mp1e73 11 p@935 of m@7h hom3w0rk, 2 p@9e5 of r3@d1n9 hom3w0rk @nd 3 m0r3 p@9es 0f 6i010gy h0m3work. How m@ny m0re p@ges 0f ma7h h0mework 7h@n 6i01o9y hom3w0rk d1d sh3 h@v3?",8,homoglyph,0.3,34,136,4.0,0.7941176470588235,0.3308823529411764,8,1.13,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 1.13e+11

(Note: The problem seems to contain intentional misspellings and formatting to make it difficult to read, but the calculation should be based on the numbers given, which are 70, 11, 11, 2, 3, and 3, and the words ""ma7h,"" ""h0m3work,"" ""6i010gy,"" and ""h0m3work."")

To calculate the total amount of ""mah hom3work"" and ""6i010gy hom3work"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Rachel hhad to complete 11 pagees of mmatth homewoork, 2 pages of reading homewoork andd 3 more pagees of biology homework. How many more pages of math homework than biology homework diid she have?",8,char_repetition,0.05,34,54,1.588235294117647,0.1851851851851851,0.1851851851851851,8,8.0,1.0,1.0,0.0,0,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 8

(11 pages of math homework - 2 pages of reading homework - 3 pages of biology homework = 8 pages of math homework more than biology homework)"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","RRachel hhaadd to complete 11 pageess of mmatth homewoork, 2 pages of readinng homeewwoorkk andd 3 more pagees of biiology homework. How many moore pagees of mmaath hhomeework than biiologyy homework diid shhe havve?",8,char_repetition,0.15,34,73,2.147058823529412,0.2465753424657534,0.3698630136986301,8,5.0,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 5

(Answer represents the number of additional math pages Rachel has to complete compared to biology pages.)"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","RRachell hhaadd too ccoommpllete 11 ppaageess of mmaatth homeewoorkk, 2 pages ooff rreaddinng hommeewwoorrkk andd 3 more paagees of biiolloggyy homework. HHow maany moore pagees of mmaath hhomeewoork thaan biioologyy homework ddiid shhe haavve?",8,char_repetition,0.3,34,97,2.8529411764705883,0.2886597938144329,0.5154639175257731,8,5.0,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 5

(Answer represents the number of additional math pages Rachell had to complete.)"
svamp,1,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?","Rachel ad to complete 11 pags of ah homewrk, 2 pages of reading homewrk an 3 more pags of biology homework. How many more pages of math homework than biology homework dd she have?",8,char_deletion,0.05,34,50,1.4705882352941178,0.26,0.12,8,5.0,1.0,0.0,1.0,1,"#### 8

Pages of math homework: 11 (from problem statement)
Pages of biology homework: 3 (from problem statement)

Difference: 8","#### 5

(Note: Based on the information provided, Rachel has 11 pages of homework in total (11 pages of homework - 2 pages of reading homework - 3 pages of biology homework = 5 pages of math homework)"
